,timestamp,open,high,low,close,volume
0,1577836800000,129.16,129.19,128.68,128.87,7769.17336000
1,1577840400000,128.87,130.65,128.78,130.64,11344.65516000
2,1577844000000,130.63,130.98,130.35,130.85,7603.35623000
3,1577847600000,130.85,130.89,129.94,130.2,4968.55433000
4,1577851200000,130.21,130.74,130.15,130.2,3397.90747000
5,1577854800000,130.2,130.47,130.11,130.3,4243.60640000
6,1577858400000,130.31,130.75,130.26,130.44,3668.90166000
7,1577862000000,130.47,130.71,130.14,130.24,4147.17413000
8,1577865600000,130.24,130.41,129.87,130.36,7541.44497000
9,1577869200000,130.4,130.62,130.13,130.17,4808.20496000
10,1577872800000,130.17,130.82,130.07,130.7,4625.50170000
11,1577876400000,130.67,131.87,130.6,130.74,10847.79032000
12,1577880000000,130.74,131.61,130.7,131.61,4163.30667000
13,1577883600000,131.6,131.9,131.28,131.68,7160.65302000
14,1577887200000,131.66,132.37,131.24,131.96,7325.25762000
15,1577890800000,131.95,132.4,131.6,132.08,5361.06926000
16,1577894400000,132.08,132.95,131.78,132.85,6915.20906000
17,1577898000000,132.86,133.05,132.27,132.34,5424.00732000
18,1577901600000,132.34,132.46,131.57,132.04,5707.79340000
19,1577905200000,132.04,132.16,131.62,131.86,2111.21443000
20,1577908800000,131.86,132.25,131.7,132.18,2014.79285000
21,1577912400000,132.17,132.37,131.68,131.78,4879.42025000
22,1577916000000,131.82,131.82,129.9,130.27,14876.06749000
23,1577919600000,130.28,130.87,129.74,130.77,3865.45991000
24,1577923200000,130.72,130.78,130.27,130.67,3772.66670000
25,1577926800000,130.66,130.67,130.12,130.15,3684.51912000
26,1577930400000,130.14,130.16,128.89,129.72,19078.42209000
27,1577934000000,129.71,129.71,128.77,129.1,11950.18634000
28,1577937600000,129.09,129.87,128.69,129.55,8931.67759000
29,1577941200000,129.57,129.75,129.3,129.63,7276.74256000
30,1577944800000,129.6,129.99,129.15,129.42,4823.43405000
31,1577948400000,129.43,129.67,128.96,129.26,6548.36046000
32,1577952000000,129.23,130.27,129.21,130.21,7205.67080000
33,1577955600000,130.21,130.21,129.57,129.98,5828.65169000
34,1577959200000,129.97,130.28,129.66,129.72,8014.34789000
35,1577962800000,129.73,129.94,129.44,129.53,4293.24985000
36,1577966400000,129.52,129.99,129.52,129.96,3718.46074000
37,1577970000000,129.97,130.01,128.9,129.35,8547.00635000
38,1577973600000,129.34,129.86,129.21,129.37,5538.92471000
39,1577977200000,129.37,129.8,129.36,129.59,5352.62034000
40,1577980800000,129.58,129.78,126.94,127.6,32996.89479000
41,1577984400000,127.6,127.68,126.38,127.4,40429.91193000
42,1577988000000,127.42,127.75,127.13,127.49,7360.65888000
43,1577991600000,127.49,127.67,127.08,127.62,4747.08642000
44,1577995200000,127.63,127.64,126.79,127.16,5796.42079000
45,1577998800000,127.16,127.87,127.15,127.72,2225.95265000
46,1578002400000,127.72,127.76,127.24,127.39,2654.51024000
47,1578006000000,127.39,127.48,126.91,127.19,2980.68108000
48,1578009600000,127.19,127.6,126.82,127.07,7303.34389000
49,1578013200000,127.07,127.17,125.88,126.04,12202.68649000
50,1578016800000,126.04,127.08,125.9,126.92,14356.43191000
51,1578020400000,126.94,127.11,126.65,126.89,6279.76820000
52,1578024000000,126.89,130.15,126.83,129.3,47219.15382000
53,1578027600000,129.23,129.97,128.76,129.21,13556.58641000
54,1578031200000,129.24,129.35,128.76,129.17,9731.33188000
55,1578034800000,129.18,129.53,128.72,128.86,16992.05519000
56,1578038400000,128.86,133.26,128.8,132.15,74641.95220000
57,1578042000000,132.2,132.87,131.71,132.35,26464.25904000
58,1578045600000,132.36,132.72,131.58,132.04,10333.20316000
59,1578049200000,132.03,132.63,131.92,132.46,6848.31903000
60,1578052800000,132.49,132.83,131.85,132.23,13842.74842000
61,1578056400000,132.23,133.95,132.23,133.54,14278.62513000
